# Data Description: ,,,,,,
#                 daily simple return of CRSP equal-weighted index from January 1980 to December 1999,,,,,,
# Variables: ,,,,,,
#                  date: yearmmdd,,,,,,
"#                  weekday: 1=Monday, 2=Tuesday, 3=Wednesday, 4=Thursday, 5=Friday",,,,,,
#                  Mon: indicator for Monday,,,,,,
#                  Tue: indicator for Tuesday,,,,,,
#                  Wed: indicator for Wednesday,,,,,,
#                  Thu: indicator for Thursday,,,,,,
#                  ret: return,,,,,,
,,,,,,
date,weekday,Mon,Tue,Wed,Thu,ret
19810805,3,0,0,1,0,0.00482
19810806,4,0,0,0,1,0.0029
19810807,5,0,0,0,0,-0.00099
19810810,1,1,0,0,0,-0.00272
19810811,2,0,1,0,0,0.00366
19810812,3,0,0,1,0,0.00157
19810813,4,0,0,0,1,0.00111
19810814,5,0,0,0,0,-0.00165
19810817,1,1,0,0,0,-0.00927
19810818,2,0,1,0,0,-0.01137
19810819,3,0,0,1,0,0.00087
19810820,4,0,0,0,1,0.00128
19810821,5,0,0,0,0,-0.00493
19810824,1,1,0,0,0,-0.02492
19810825,2,0,1,0,0,-0.01481
19810826,3,0,0,1,0,-0.00115
19810827,4,0,0,0,1,-0.00741
19810828,5,0,0,0,0,0.00252
19810831,1,1,0,0,0,-0.00804
19810901,2,0,1,0,0,-0.00597
19810902,3,0,0,1,0,0.00161
19810903,4,0,0,0,1,-0.01441
19810904,5,0,0,0,0,-0.01117
19810908,2,0,1,0,0,-0.02423
19810909,3,0,0,1,0,-0.00085
19810910,4,0,0,0,1,0.01259
19810911,5,0,0,0,0,0.0126
19810914,1,1,0,0,0,-0.00063
19810915,2,0,1,0,0,-0.00124
19810916,3,0,0,1,0,-0.00943
19810917,4,0,0,0,1,-0.01112
19810918,5,0,0,0,0,-0.00869
19810921,1,1,0,0,0,-0.00126
19810922,2,0,1,0,0,-0.0035
19810923,3,0,0,1,0,-0.01955
19810924,4,0,0,0,1,-0.00109
19810925,5,0,0,0,0,-0.02988
19810928,1,1,0,0,0,-0.00199
19810929,2,0,1,0,0,0.02125
19810930,3,0,0,1,0,0.00793
19811001,4,0,0,0,1,0.00777
19811002,5,0,0,0,0,0.01778
19811005,1,1,0,0,0,0.0077
19811006,2,0,1,0,0,0.0015
19811007,3,0,0,1,0,0.01445
19811008,4,0,0,0,1,0.01141
19811009,5,0,0,0,0,0.0036
19811012,1,1,0,0,0,0.00135
19811013,2,0,1,0,0,0.00069
19811014,3,0,0,1,0,-0.01012
19811015,4,0,0,0,1,0.00133
19811016,5,0,0,0,0,0.00109
19811019,1,1,0,0,0,-0.00307
19811020,2,0,1,0,0,0.00491
19811021,3,0,0,1,0,0.00238
19811022,4,0,0,0,1,-0.00338
19811023,5,0,0,0,0,-0.00356
19811026,1,1,0,0,0,-0.00571
19811027,2,0,1,0,0,0.00621
19811028,3,0,0,1,0,0.00368
19811029,4,0,0,0,1,-0.00159
19811030,5,0,0,0,0,0.01135
19811102,1,1,0,0,0,0.01215
19811103,2,0,1,0,0,0.00533
19811104,3,0,0,1,0,0.00315
19811105,4,0,0,0,1,0.00024
19811106,5,0,0,0,0,-0.00026
19811109,1,1,0,0,0,-0.00078
19811110,2,0,1,0,0,-0.00111
19811111,3,0,0,1,0,7.00E-05
19811112,4,0,0,0,1,0.00362
19811113,5,0,0,0,0,-0.00305
19811116,1,1,0,0,0,-0.01351
19811117,2,0,1,0,0,-0.00096
19811118,3,0,0,1,0,-0.00117
19811119,4,0,0,0,1,-0.00146
19811120,5,0,0,0,0,0.00675
19811123,1,1,0,0,0,-0.00174
19811124,2,0,1,0,0,0.00328
19811125,3,0,0,1,0,0.00468
19811127,5,0,0,0,0,0.00478
19811130,1,1,0,0,0,0.00133
19811201,2,0,1,0,0,-0.00217
19811202,3,0,0,1,0,-0.00444
19811203,4,0,0,0,1,-1.00E-04
19811204,5,0,0,0,0,0.00594
19811207,1,1,0,0,0,-0.00607
19811208,2,0,1,0,0,-0.00863
19811209,3,0,0,1,0,0.00103
19811210,4,0,0,0,1,0.0014
19811211,5,0,0,0,0,-0.00035
19811214,1,1,0,0,0,-0.01308
19811215,2,0,1,0,0,-0.00106
19811216,3,0,0,1,0,-0.00027
19811217,4,0,0,0,1,0.00297
19811218,5,0,0,0,0,0.0066
19811221,1,1,0,0,0,-0.00403
19811222,2,0,1,0,0,-0.00276
19811223,3,0,0,1,0,-9.00E-05
19811224,4,0,0,0,1,0.00424
19811228,1,1,0,0,0,-0.00351
19811229,2,0,1,0,0,-0.00504
19811230,3,0,0,1,0,0.00263
19811231,4,0,0,0,1,0.00935
19820104,1,1,0,0,0,0.00387
19820105,2,0,1,0,0,-0.01199
19820106,3,0,0,1,0,-0.00604
19820107,4,0,0,0,1,0.00106
19820108,5,0,0,0,0,0.00634
19820111,1,1,0,0,0,-0.01448
19820112,2,0,1,0,0,-0.00853
19820113,3,0,0,1,0,-0.00714
19820114,4,0,0,0,1,0.00062
19820115,5,0,0,0,0,0.0057
19820118,1,1,0,0,0,0.00031
19820119,2,0,1,0,0,-0.00274
19820120,3,0,0,1,0,-0.00184
19820121,4,0,0,0,1,0.00228
19820122,5,0,0,0,0,4.00E-05
19820125,1,1,0,0,0,-0.00868
19820126,2,0,1,0,0,-0.00108
19820127,3,0,0,1,0,0.00048
19820128,4,0,0,0,1,0.01582
19820129,5,0,0,0,0,0.01059
19820201,1,1,0,0,0,-0.00908
19820202,2,0,1,0,0,0.00201
19820203,3,0,0,1,0,-9.00E-04
19820204,4,0,0,0,1,-0.00166
19820205,5,0,0,0,0,0.00669
19820208,1,1,0,0,0,-0.01614
19820209,2,0,1,0,0,-0.01104
19820210,3,0,0,1,0,0.00209
19820211,4,0,0,0,1,-0.00191
19820212,5,0,0,0,0,0.00138
19820216,2,0,1,0,0,-0.00812
19820217,3,0,0,1,0,-0.00019
19820218,4,0,0,0,1,-0.00124
19820219,5,0,0,0,0,-0.00333
19820222,1,1,0,0,0,-0.00687
19820223,2,0,1,0,0,-0.0089
19820224,3,0,0,1,0,0.00485
19820225,4,0,0,0,1,0.00501
19820226,5,0,0,0,0,-0.00103
19820301,1,1,0,0,0,0.00184
19820302,2,0,1,0,0,-3.00E-04
19820303,3,0,0,1,0,-0.0132
19820304,4,0,0,0,1,-0.01277
19820305,5,0,0,0,0,-0.01171
19820308,1,1,0,0,0,-0.01463
19820309,2,0,1,0,0,-0.00556
19820310,3,0,0,1,0,0.00494
19820311,4,0,0,0,1,-0.00036
19820312,5,0,0,0,0,-0.00608
19820315,1,1,0,0,0,-0.00077
19820316,2,0,1,0,0,0.00315
19820317,3,0,0,1,0,0.00104
19820318,4,0,0,0,1,0.01072
19820319,5,0,0,0,0,0.00777
19820322,1,1,0,0,0,0.01368
19820323,2,0,1,0,0,0.00681
19820324,3,0,0,1,0,0.00125
19820325,4,0,0,0,1,0.00528
19820326,5,0,0,0,0,-0.00152
19820329,1,1,0,0,0,0.00103
19820330,2,0,1,0,0,0.00045
19820331,3,0,0,1,0,0.00147
19820401,4,0,0,0,1,0.00874
19820402,5,0,0,0,0,0.007
19820405,1,1,0,0,0,-8.00E-05
19820406,2,0,1,0,0,0.00232
19820407,3,0,0,1,0,0.00383
19820408,4,0,0,0,1,0.00509
19820412,1,1,0,0,0,-0.00135
19820413,2,0,1,0,0,0.00129
19820414,3,0,0,1,0,-0.00029
19820415,4,0,0,0,1,0.00352
19820416,5,0,0,0,0,0.00485
19820419,1,1,0,0,0,0.00048
19820420,2,0,1,0,0,-0.00234
19820421,3,0,0,1,0,0.00233
19820422,4,0,0,0,1,0.00673
19820423,5,0,0,0,0,0.00726
19820426,1,1,0,0,0,0.00425
19820427,2,0,1,0,0,-0.00286
19820428,3,0,0,1,0,-0.00064
19820429,4,0,0,0,1,-0.00276
19820430,5,0,0,0,0,0.00316
19820503,1,1,0,0,0,-0.00014
19820504,2,0,1,0,0,0.00418
19820505,3,0,0,1,0,0.00065
19820506,4,0,0,0,1,0.00663
19820507,5,0,0,0,0,0.00623
19820510,1,1,0,0,0,-0.0033
19820511,2,0,1,0,0,0.00451
19820512,3,0,0,1,0,0.00013
19820513,4,0,0,0,1,6.00E-05
19820514,5,0,0,0,0,0.00163
19820517,1,1,0,0,0,-0.0068
19820518,2,0,1,0,0,-0.00597
19820519,3,0,0,1,0,-0.00515
19820520,4,0,0,0,1,-0.00617
19820521,5,0,0,0,0,-5.00E-04
19820524,1,1,0,0,0,-0.003
19820525,2,0,1,0,0,-0.00118
19820526,3,0,0,1,0,-0.01038
19820527,4,0,0,0,1,-0.0039
19820528,5,0,0,0,0,8.00E-04
19820601,2,0,1,0,0,-0.00609
19820602,3,0,0,1,0,0.00054
19820603,4,0,0,0,1,-0.00205
19820604,5,0,0,0,0,-0.00954
19820607,1,1,0,0,0,-0.00551
19820608,2,0,1,0,0,-0.00411
19820609,3,0,0,1,0,-0.00915
19820610,4,0,0,0,1,0.00044
19820611,5,0,0,0,0,0.01107
19820614,1,1,0,0,0,-0.0068
19820615,2,0,1,0,0,-0.00584
19820616,3,0,0,1,0,-0.00116
19820617,4,0,0,0,1,-0.00845
19820618,5,0,0,0,0,-0.00455
19820621,1,1,0,0,0,-0.00148
19820622,2,0,1,0,0,0.00316
19820623,3,0,0,1,0,0.01039
19820624,4,0,0,0,1,0.00252
19820625,5,0,0,0,0,-0.00246
19820628,1,1,0,0,0,0.00214
19820629,2,0,1,0,0,-0.00269
19820630,3,0,0,1,0,0.00293
19820701,4,0,0,0,1,-0.0041
19820702,5,0,0,0,0,-0.00263
19820706,2,0,1,0,0,-0.00408
19820707,3,0,0,1,0,-0.00245
19820708,4,0,0,0,1,-0.00351
19820709,5,0,0,0,0,0.0087
19820712,1,1,0,0,0,0.00499
19820713,2,0,1,0,0,-0.00033
19820714,3,0,0,1,0,-0.00165
19820715,4,0,0,0,1,0.00146
19820716,5,0,0,0,0,0.00272
19820719,1,1,0,0,0,-0.00028
19820720,2,0,1,0,0,0.00246
19820721,3,0,0,1,0,0.0031
19820722,4,0,0,0,1,0.00238
19820723,5,0,0,0,0,0.00212
19820726,1,1,0,0,0,-0.00373
19820727,2,0,1,0,0,-0.00305
19820728,3,0,0,1,0,-0.0116
19820729,4,0,0,0,1,-0.00495
19820730,5,0,0,0,0,-3.00E-04
19820802,1,1,0,0,0,0.0049
19820803,2,0,1,0,0,-0.00248
19820804,3,0,0,1,0,-0.00876
19820805,4,0,0,0,1,-0.00769
19820806,5,0,0,0,0,-0.00678
19820809,1,1,0,0,0,-0.01466
19820810,2,0,1,0,0,-0.00205
19820811,3,0,0,1,0,-0.00566
19820812,4,0,0,0,1,-0.00325
19820813,5,0,0,0,0,0.00109
19820816,1,1,0,0,0,0.00513
19820817,2,0,1,0,0,0.0156
19820818,3,0,0,1,0,0.01303
19820819,4,0,0,0,1,8.00E-04
19820820,5,0,0,0,0,0.01478
19820823,1,1,0,0,0,0.01424
19820824,2,0,1,0,0,0.00675
19820825,3,0,0,1,0,0.0169
19820826,4,0,0,0,1,0.01661
19820827,5,0,0,0,0,-0.00049
19820830,1,1,0,0,0,0.00021
19820831,2,0,1,0,0,0.00779
19820901,3,0,0,1,0,-0.00351
19820902,4,0,0,0,1,0.01001
